iter	Passed	Remaining
385	232	370
386	233	369
387	233	368
388	234	368
389	235	367
390	235	367
391	236	366
392	236	366
393	237	365
394	238	364
395	238	364
396	239	364
397	240	363
398	241	363
399	241	362
400	242	362
401	243	361
402	243	361
403	244	360
404	245	360
405	246	360
406	246	359
407	247	359
408	248	358
409	248	357
410	249	357
411	249	356
412	250	356
413	251	355
414	251	355
415	252	354
416	253	353
417	253	353
418	254	352
419	255	352
420	255	351
421	256	350
422	256	350
423	257	349
424	258	349
425	258	348
426	259	347
427	259	347
428	260	346
429	261	346
430	261	345
431	262	344
432	262	344
433	263	343
434	264	342
435	264	342
436	265	341
437	266	341
438	266	340
439	267	340
440	267	339
441	268	338
442	268	338
443	269	337
444	269	336
445	270	336
446	271	335
447	271	334
448	272	334
449	272	333
450	273	332
451	273	332
452	274	331
453	274	330
454	275	330
455	276	329
456	276	328
457	277	328
458	277	327
459	278	326
460	279	326
461	279	325
462	280	325
463	281	324
464	281	324
465	282	324
466	283	323
467	284	323
468	284	322
469	285	321
470	286	321
471	286	320
472	287	320
473	288	319
474	288	319
475	289	318
476	290	318
477	290	317
478	291	316
479	291	316
480	292	315
481	293	314
482	293	314
483	294	313
484	295	313
485	295	312
486	296	312
487	297	311
488	297	311
489	298	310
490	298	309
491	299	309
492	300	308
493	300	308
494	301	307
495	301	306
496	302	306
497	303	305
498	303	304
499	304	304
500	304	303
501	305	302
502	305	302
503	306	301
504	307	301
505	307	300
506	308	299
507	308	299
508	309	298
509	310	298
510	310	297
511	311	296
512	312	296
513	312	295
514	313	295
515	313	294
516	314	293
517	315	293
518	315	292
519	316	291
520	316	291
521	317	290
522	317	289
523	318	289
524	319	288
525	319	288
526	320	287
527	320	286
528	321	286
529	322	285
530	323	285
531	325	285
532	325	285
533	326	284
534	326	284
535	327	283
536	328	282
537	328	282
538	329	281
539	329	280
540	330	280
541	330	279
542	331	279
543	332	278
544	332	277
545	333	277
546	333	276
547	334	275
548	335	275
549	335	274
550	336	273
551	336	273
552	337	272
553	338	272
554	338	271
555	339	270
556	339	270
557	340	269
558	341	269
559	341	268
560	342	267
561	342	267
562	343	266
563	344	265
564	344	265
565	345	264
566	345	264
567	346	263
568	347	262
569	347	262
570	348	261
571	348	261
572	349	260
573	350	259
574	350	259
575	351	258
576	352	258
577	353	257
578	353	257
579	354	256
580	355	256
581	355	255
582	356	254
583	356	254
584	357	253
585	358	253
586	358	252
587	359	251
588	359	251
589	360	250
590	361	249
591	361	249
592	362	248
593	362	247
594	363	247
595	363	246
596	364	246
597	365	245
598	365	244
599	366	244
600	366	243
601	367	243
602	368	242
603	368	241
604	369	241
605	370	240
606	370	239
607	371	239
608	371	238
609	372	238
610	372	237
611	373	236
612	374	236
613	374	235
614	375	234
615	375	234
616	376	233
617	377	233
618	377	232
619	378	231
620	378	231
621	379	230
622	380	230
623	380	229
624	381	228
625	382	228
626	382	227
627	383	226
628	383	226
629	384	225
630	384	225
631	385	224
632	386	223
633	386	223
634	387	222
635	387	221
636	388	221
637	388	220
638	389	220
639	390	219
640	390	218
641	391	218
642	391	217
643	392	216
644	392	216
645	393	215
646	394	215
647	394	214
648	395	213
649	396	213
650	396	212
651	397	212
652	397	211
653	398	210
654	399	210
655	399	209
656	400	209
657	400	208
658	401	207
659	402	207
660	402	206
661	403	205
662	403	205
663	404	204
664	404	204
665	405	203
666	406	202
667	406	202
668	407	201
669	408	201
670	408	200
671	409	199
672	410	199
673	410	198
674	411	197
675	411	197
676	412	196
677	412	196
678	413	195
679	414	194
680	414	194
681	415	193
682	415	192
683	416	192
684	416	191
685	417	191
686	417	190
687	418	189
688	419	189
689	419	188
690	420	187
691	420	187
692	421	186
693	422	186
694	422	185
695	423	184
696	423	184
697	424	183
698	424	183
699	425	182
700	426	181
701	426	181
702	427	180
703	428	179
704	428	179
705	429	178
706	429	178
707	430	177
708	430	176
709	431	176
710	432	175
711	432	175
712	433	174
713	433	173
714	434	173
715	435	172
716	435	171
717	436	171
718	436	170
719	437	170
720	438	169
721	438	168
722	439	168
723	440	167
724	440	167
725	441	166
726	441	165
727	442	165
728	443	164
729	443	164
730	444	163
731	444	162
732	445	162
733	446	161
734	446	161
735	447	160
736	447	159
737	448	159
738	448	158
739	449	157
740	450	157
741	450	156
742	451	156
743	451	155
744	452	154
745	453	154
746	453	153
747	454	153
748	454	152
749	455	151
750	455	151
751	456	150
752	457	149
753	457	149
754	458	148
755	458	148
756	459	147
757	460	146
758	460	146
759	461	145
760	461	145
761	462	144
762	463	143
763	463	143
764	464	142
765	465	142
766	465	141
767	466	140
768	466	140
769	467	139
770	468	139
771	468	138
772	469	137
773	469	137
774	470	136
775	470	135
776	471	135
777	472	134
778	472	134
779	473	133
780	474	132
781	474	132
782	475	131
783	475	131
784	476	130
785	477	129
786	477	129
787	478	128
788	478	128
789	479	127
790	480	126
791	481	126
792	481	125
793	482	125
794	483	124
795	483	123
796	484	123
797	484	122
798	485	122
799	485	121
800	486	120
801	487	120
802	487	119
803	488	119
804	488	118
805	489	117
806	489	117
807	490	116
808	491	115
809	491	115
810	492	114
811	492	114
812	493	113
813	493	112
814	495	112
815	495	111
816	496	111
817	496	110
818	497	109
819	497	109
820	498	108
821	499	108
822	499	107
823	500	106
824	500	106
825	501	105
826	501	104
827	502	104
828	503	103
829	503	103
830	504	102
831	504	101
832	505	101
833	506	100
834	506	100
835	507	99
836	507	98
837	508	98
838	509	97
839	509	97
840	510	96
841	510	95
842	511	95
843	511	94
844	512	94
845	513	93
846	513	92
847	514	92
848	514	91
849	515	90
850	515	90
851	516	89
852	517	89
853	517	88
854	518	87
855	518	87
856	519	86
857	520	86
858	520	85
859	521	84
860	521	84
861	522	83
862	523	83
863	523	82
864	524	81
865	524	81
866	525	80
867	526	80
868	526	79
869	527	78
870	527	78
871	528	77
872	528	76
873	529	76
874	530	75
875	530	75
876	531	74
877	531	73
878	532	73
879	532	72
880	533	72
881	534	71
882	534	70
883	535	70
884	535	69
885	536	69
886	536	68
887	537	67
888	538	67
889	538	66
890	539	65
891	539	65
892	540	64
893	541	64
894	541	63
895	542	62
896	542	62
897	543	61
898	543	61
899	544	60
900	545	59
901	545	59
902	546	58
903	546	58
904	547	57
905	548	56
906	548	56
907	549	55
908	549	55
909	550	54
910	551	53
911	551	53
912	552	52
913	552	52
914	553	51
915	553	50
916	554	50
917	555	49
918	555	48
919	556	48
920	556	47
921	557	47
922	557	46
923	558	45
924	559	45
925	559	44
926	560	44
927	560	43
928	561	42
929	562	42
930	562	41
931	563	41
932	563	40
933	564	39
934	565	39
935	565	38
936	566	38
937	567	37
938	568	36
939	568	36
940	569	35
941	570	35
942	570	34
943	571	33
944	571	33
945	572	32
946	573	32
947	573	31
948	574	30
949	574	30
950	575	29
951	575	29
952	576	28
953	577	27
954	577	27
955	578	26
956	578	26
957	579	25
958	580	24
959	581	24
960	581	23
961	582	22
962	582	22
963	583	21
964	583	21
965	584	20
966	584	19
967	585	19
968	586	18
969	586	18
970	587	17
971	587	16
972	588	16
973	588	15
974	589	15
975	589	14
976	590	13
977	591	13
978	591	12
979	592	12
980	592	11
981	593	10
982	594	10
983	594	9
984	595	9
985	595	8
986	596	7
987	597	7
988	597	6
989	598	6
990	598	5
991	599	4
992	600	4
993	600	3
994	601	3
995	601	2
996	602	1
997	602	1
998	603	0
999	604	0
