iter	Passed	Remaining
0	1	1169
1	1	936
2	2	842
3	3	792
4	3	768
5	4	749
6	5	735
7	5	724
8	6	727
9	7	719
10	7	713
11	8	707
12	9	702
13	10	704
14	10	700
15	11	694
16	11	690
17	12	687
18	13	683
19	13	680
20	14	677
21	15	674
22	15	671
23	16	669
24	17	668
25	17	666
26	18	663
27	19	661
28	19	659
29	20	657
30	20	654
31	21	656
32	22	655
33	23	654
34	23	654
35	24	653
36	25	651
37	25	650
38	26	648
39	26	647
40	27	645
41	28	644
42	28	643
43	29	641
44	30	639
45	30	639
46	31	637
47	32	636
48	32	634
49	33	633
50	33	631
51	34	629
52	35	628
53	35	626
54	36	625
55	37	625
56	37	623
57	38	623
58	38	621
59	39	620
60	40	619
61	40	617
62	41	615
63	41	614
64	42	612
65	43	610
66	43	608
67	44	603
68	44	602
69	45	600
70	45	598
71	46	597
72	46	596
73	47	594
74	48	593
75	48	592
76	49	590
77	49	589
78	50	588
79	51	586
80	51	586
81	52	589
82	53	592
83	54	592
84	54	590
85	55	590
86	56	587
87	56	587
88	57	588
89	58	588
90	58	587
91	59	585
92	59	584
93	60	582
94	61	581
95	61	580
96	62	578
97	62	577
98	63	576
99	63	575
100	64	575
101	65	573
102	65	572
103	66	574
104	67	573
105	67	572
106	68	571
107	69	570
108	69	568
109	70	567
110	70	566
111	71	565
112	71	564
113	72	562
114	72	561
115	73	559
116	73	558
117	74	557
118	75	555
119	75	554
120	76	553
121	76	552
122	77	549
123	77	548
124	78	547
125	78	546
126	79	545
127	79	543
128	80	542
129	80	541
130	81	541
131	82	540
132	82	539
133	83	538
134	83	537
135	84	536
136	85	536
137	85	534
138	86	533
139	86	532
140	87	531
141	87	530
142	88	529
143	89	529
144	89	528
145	90	527
146	90	526
147	91	525
148	91	525
149	92	524
150	93	523
151	93	522
152	94	521
153	94	520
154	95	520
155	96	519
156	96	519
157	97	518
158	97	517
159	98	516
160	99	516
161	99	515
162	100	514
163	100	513
164	101	512
165	101	512
166	102	511
167	103	510
168	103	509
169	104	509
170	104	508
171	105	507
172	106	506
173	106	506
174	107	505
175	107	504
176	108	503
177	109	503
178	109	504
179	110	503
180	110	501
181	111	500
182	111	500
183	112	499
184	113	498
185	113	497
186	114	496
187	114	495
188	115	495
189	115	494
190	116	493
191	117	492
192	117	491
193	118	490
194	118	490
195	119	489
196	119	488
197	120	487
198	120	486
199	121	486
200	122	485
201	122	484
202	123	483
203	123	483
204	124	483
205	125	483
206	126	482
207	126	482
208	127	482
209	127	481
210	128	480
211	129	480
212	129	479
213	130	478
214	130	477
215	131	476
216	131	476
217	132	475
218	133	474
219	133	473
220	134	472
221	134	472
222	135	471
223	135	470
224	136	469
225	136	469
226	137	468
227	138	467
228	138	467
229	139	466
230	139	465
231	140	465
232	141	464
233	141	464
234	142	463
235	142	462
236	143	462
237	144	461
238	144	460
239	145	460
240	145	459
241	146	458
242	147	458
243	147	457
244	148	456
245	148	455
246	149	455
247	149	454
248	150	453
249	150	452
250	151	451
251	152	451
252	152	450
253	153	449
254	153	449
255	154	448
256	154	447
257	155	447
258	156	446
259	156	446
260	157	445
261	157	445
262	158	444
263	159	443
264	159	443
265	160	442
266	161	442
267	161	441
268	162	440
269	162	440
270	163	439
271	164	438
272	164	438
273	165	437
274	165	437
275	166	436
276	167	436
277	167	435
278	168	434
279	168	434
280	169	433
281	170	433
282	170	432
283	171	431
284	171	431
285	172	430
286	173	430
287	173	429
288	174	429
289	175	428
290	175	427
291	176	427
292	176	426
293	177	426
294	177	425
295	178	424
296	179	424
297	179	423
298	180	423
299	181	422
300	181	421
301	182	421
302	182	420
303	183	419
304	184	419
305	184	418
306	185	418
307	185	417
308	186	416
309	187	416
310	187	415
311	188	415
312	188	414
313	189	413
314	190	413
315	190	412
316	191	411
317	191	411
318	192	410
319	192	409
320	193	409
321	194	408
322	194	408
323	195	407
324	196	407
325	196	406
326	197	406
327	197	405
328	198	404
329	199	404
330	199	403
331	200	403
332	200	402
333	201	402
334	202	401
335	203	401
336	203	401
337	204	400
338	205	399
339	205	399
340	206	398
341	206	398
342	207	397
343	208	396
344	208	396
345	209	395
346	209	394
347	210	394
348	210	393
349	211	392
350	211	391
351	212	391
352	213	390
353	213	389
354	214	389
355	214	388
356	215	387
357	215	387
358	216	386
359	217	386
360	217	385
361	218	384
362	218	384
363	219	383
364	220	382
365	220	382
366	221	381
367	221	380
368	222	380
369	223	379
370	223	379
371	224	378
372	224	378
373	225	377
374	226	376
375	226	376
376	227	375
377	227	374
378	228	374
379	228	373
380	229	372
381	230	372
382	230	371
383	231	371
384	232	370
